IDA;Idaho Falls Regional;Idaho Falls;ID
ILM;Wilmington International;Wilmington;NC
IND;Indianapolis International;Indianapolis;IN
IPL;Imperial County;Imperial;CA
ISP;Long Island - MacArthur;Islip;NY
ITO;Hilo International;Hilo;HI
IYK;Inyokern;Inyokern;CA
JAC;Jackson Hole;Jackson;WY
JAN;Jackson International;Jackson;MS
JAX;Jacksonville International;Jacksonville;FL
JFK;John F Kennedy Intl;New York;NY
JNU;Juneau International;Juneau;AK
KOA;Kona International At Keahole;Kailua/Kona;HI
KTN;Ketchikan International;Ketchikan;AK
LAN;Capital City;Lansing;MI
LAS;McCarran International;Las Vegas;NV
LAW;Lawton-Ft Sill Regional;Lawton;OK
LAX;Los Angeles International;Los Angeles;CA
LBB;Lubbock International;Lubbock;TX
LCH;Lake Charles Regional;Lake Charles;LA
LEX;Blue Grass;Lexington;KY
LFT;Lafayette Regional;Lafayette;LA
LGA;LaGuardia;New York;NY
LGB;Long Beach (Daugherty );Long Beach;CA
LIH;Lihue;Lihue;HI
LIT;Adams;Little Rock;AR
LMT;Klamath Falls International;Klamath Falls;OR
LNK;Lincoln Municipal;Lincoln;NE
LRD;Laredo International;Laredo;TX
LSE;La Crosse Municipal;La Crosse;WI
LWB;Greenbrier Valley;Lewisburg;WV
LWS;Lewiston-Nez Perce County;Lewiston;ID
LYH;Lynchburg Municipal-Preston Glenn;Lynchburg;VA
MAF;Midland International;Midland;TX
MBS;Mbs International;Saginaw;MI
MCI;Kansas City International;Kansas City;MO
MCO;Orlando International;Orlando;FL
MDT;Harrisburg Intl;Harrisburg;PA
MDW;Chicago Midway;Chicago;IL
MEI;Key;Meridian;MS
MEM;Memphis International;Memphis;TN
MFE;McAllen Miller International;McAllen;TX
MFR;Rogue Valley International;Medford;OR
MGM;Montgomery Regional Apt;Montgomery;AL
MHT;Manchester;Manchester;NH
MIA;Miami International;Miami;FL
MKE;General Mitchell International;Milwaukee;WI
MLB;Melbourne International;Melbourne;FL
MLI;Quad City;Moline;IL
MLU;Monroe Regional;Monroe;LA
MOB;Mobile Regional;Mobile;AL
MOD;Modesto City-County-Harry Sham;Modesto;CA
MOT;Minot International;Minot;ND
MQT;Marquette County Airport;NA;NA
MRY;Monterey Peninsula;Monterey;CA
MSN;Dane County Regional;Madison;WI
MSO;Missoula International;Missoula;MT
MSP;Minneapolis-St Paul Intl;Minneapolis;MN
MSY;New Orleans International;New Orleans;LA
MTJ;Montrose Regional;Montrose;CO
MYR;Myrtle Beach International;Myrtle Beach;SC
OAJ;Albert J Ellis;Jacksonville;NC
OAK;Metropolitan Oakland International;Oakland;CA
OGG;Kahului;Kahului;HI
OKC;Will Rogers World;Oklahoma City;OK
OMA;Eppley Airfield;Omaha;NE
OME;Nome;Nome;AK
ONT;Ontario International;Ontario;CA
ORD;Chicago OHare International;Chicago;IL
ORF;Norfolk International;Norfolk;VA
OTH;North Bend Muni;North Bend;OR
OTZ;Ralph Wien Memorial;Kotzebue;AK
OXR;Oxnard;Oxnard;CA
PBI;Palm Beach International;West Palm Beach;FL
PDX;Portland Intl;Portland;OR
PFN;Panama City-Bay County International;Panama City;FL
PHF;Newport News/Williamsburg International;Newport News;VA
PHL;Philadelphia Intl;Philadelphia;PA
PHX;Phoenix Sky Harbor International;Phoenix;AZ
PIA;Greater Peoria Regional;Peoria;IL
PIH;Pocatello Regional;Pocatello;ID
PIT;Pittsburgh International;Pittsburgh;PA
PMD;Palmdale Production Flight;Palmdale;CA
PNS;Pensacola Regional;Pensacola;FL
PSC;Tri-Cities;Pasco;WA
PSE;Mercedita;Ponce;PR
PSG;James C. Johnson Petersburg;Petersburg;AK
PSP;Palm Springs International;Palm Springs;CA
PVD;Theodore F Green State;Providence;RI
PWM;Portland International Jetport;Portland;ME
RAP;Rapid City Regional;Rapid City;SD
RDD;Redding Municipal;Redding;CA
RDM;Roberts;Redmond;OR
RDU;Raleigh-Durham International;Raleigh;NC
RIC;Richmond International;Richmond;VA
RKS;Rock Springs-Sweetwater County;Rock Springs;WY
RNO;Reno/Tahoe International;Reno;NV
ROA;Roanoke Regional/ Woodrum;Roanoke;VA
ROC;Greater Rochester Intl;Rochester;NY
ROW;Roswell Industrial Air Center;Roswell;NM
RST;Rochester International;Rochester;MN
RSW;Southwest Florida International;Ft. Myers;FL
SAN;San Diego International-Lindbergh;San Diego;CA
SAT;San Antonio International;San Antonio;TX
SAV;Savannah International;Savannah;GA
SBA;Santa Barbara Municipal;Santa Barbara;CA
SBN;South Bend Regional;South Bend;IN
SBP;San Luis Obispo Co-McChesney;San Luis Obispo;CA
SCC;Deadhorse;Deadhorse;AK
SDF;Louisville International-Standiford;Louisville;KY
SEA;Seattle-Tacoma Intl;Seattle;WA
SFO;San Francisco International;San Francisco;CA
SGF;Springfield-Branson Regional;Springfield;MO
SGU;St George Muni;St George;UT
SHV;Shreveport Regional;Shreveport;LA
SIT;Sitka;Sitka;AK
SJC;San Jose International;San Jose;CA
SJU;Luis Munoz Marin International;San Juan;PR
SLC;Salt Lake City Intl;Salt Lake City;UT
SMF;Sacramento International;Sacramento;CA
SMX;Santa Maria Pub/Capt G Allan Hancock;Santa Maria;CA
SNA;John Wayne /Orange Co;Santa Ana;CA
SPI;Capital;Springfield;IL
SRQ;Sarasota Bradenton International;Sarasota;FL
STL;Lambert-St Louis International;St Louis;MO
STT;Cyril E. King;Charlotte Amalie;VI
STX;Henry E. Rohlsen;Christiansted;VI
SUN;Friedman Memorial;Hailey;ID
SWF;Stewart;Newburgh;NY
SYR;Syracuse-Hancock Intl;Syracuse;NY
TLH;Tallahassee Regional;Tallahassee;FL
TOL;Toledo Express;Toledo;OH
TPA;Tampa International;Tampa;FL
TRI;Tri-Cities Regional;Bristol;TN
TUL;Tulsa International;Tulsa;OK
TUS;Tucson International;Tucson;AZ
TVC;Cherry Capital;Traverse City;MI
TWF;Joslin Field - Magic Valley;Twin Falls;ID
TXK;Texarkana Regional-Webb;Texarkana;AR
TYR;Tyler Pounds;Tyler;TX
TYS;McGhee-Tyson;Knoxville;TN
VLD;Valdosta Regional;Valdosta;GA
VPS;Eglin Air Force Base;Valparaiso;FL
WRG;Wrangell;Wrangell;AK
XNA;Northwest Arkansas Regional;Fayetteville/Springdale/Rogers;AR
YAK;Yakutat;Yakutat;AK
YUM;Yuma MCAS-Yuma International;Yuma;AZ
